year	gni	population
1994	36610	124961000
1995	41350	125439000
1996	42090	125761000
1997	39250	126091000
1998	33510	126410000
1999	32870	126650000
2000	35040	126870000
2001	35600	127149000
2002	33750	127445000
2003	34010	127718000
2004	37150	127761000
2005	39140	127773000
2006	38600	127756000
2007	37660	127770750
2008	37870	127704040
2009	37610	127557958
2010	42190	127450459
2011	45130	127817277
2012	47870	127561489
